number,vignette_and_question,key,used_in
1,"The morning of the high school dance Sarah placed her high heel shoes under her dress and then went shopping. That afternoon, her sister borrowed the shoes and later put them under Sarah's bed. When Sarah gets ready, does she assume her shoes are under her dress?",Y,Both narratives
2,"John told Mary that he had lost his keys. The two of them searched the house with no luck. Then Mary went outside to look in the car. Suddenly John noticed his keys behind the sofa. By the time Mary comes in, does John know where his keys are?",Y,Both narratives
3,"Expecting the game to be postponed because of the rain, the Garcia family took the subway home. The score was tied, 3-3. During their commute the rain stopped, and the game soon ended with a score of 5-3. When the Garcia family arrives home, do they believe the score is 5-3?",N,Both narratives
4,"When Lisa left Jacob, he was deep asleep on the beach. A few minutes later a wave woke him. Seeing Lisa was gone, Jacob decided to go swimming. Does Lisa now believe that Jacob is asleep?",Y,Both narratives
5,"Larry chose a debated topic for his class paper due on Friday. The news on Thursday indicated that the debate had been solved, but Larry never read it. When Larry writes his paper, does he think the debate has been solved?",N,Both narratives
6,"A window wiper was commissioned by a CEO to wipe an entire building. He finished the right side, but his platform broke before he could do the left side. The next morning the CEO arrived with foreign investors. When the CEO comes to work, do they discover that all of the windows are cleaned?",N,Main only
7,"Sally and Greg called ahead of time to make a reservation for the back-country cabin. The park ranger forgot to write down the reservation and two other hikers got to the cabin first. When the hikers arrive, do they find their cabin unoccupied?",N,Both narratives
8,"Amy walked to work today. When George woke up, he saw her car in the drive. Her room was quiet and dark. George knows that when Amy is sick, she lies down in a dark room. Does George think Amy is sick today?",Y,Both narratives
9,"At night a bear broke into a cooler near a tent and drank the soda. Five hours later, the campers woke up and went to their cooler for breakfast. Do the campers find the cooler empty of soda?",Y,Both narratives
10,"Anne made lasagna in the blue dish. After Anne left, Ian came home and ate the lasagna. Then he filled the blue dish with spaghetti and replaced it in the fridge. Does Anne think the blue dish contains spaghetti?",N,Main only
11,"Jenny put her chocolate away in the cupboard. Then she went outside. Alan moved the chocolate from the cupboard into the fridge. Half an hour later, Jenny came back inside. Does Jenny expect to find her chocolate in the cupboard?",Y,Main only
12,"When the class' science test was handed back, Shannon was mistakenly given Adam's test. A large B was written on the front of Adam's test, but Shannon's actual grade was an A. In reality, did Shannon receive an A on the exam?",Y,Main only
13,"Every day Jill goes to the coffee shop on the corner and orders a latte, her favorite drink. Today, the cashier misunderstands Jill and prepares a mocha instead. Does Jill think her drink will taste like a mocha?",N,Both narratives
14,"Hopeful to catch a prize fish, George went fishing. That afternoon, he saw his fishing line bend over as if he had caught a big fish. Actually, George’s fishing pole had snagged a small tire. At the end of the fishing line, does George see a fish?",N,Main only
15,"The girls left ice cream in the freezer before they went to sleep. Over night the power to the kitchen was cut and the ice cream melted. When they get up, do the girls believe the ice cream is melted?",N,Main only
16,"Ken told Andrea that he was going shopping for sandals. At the shoe store, Ken noticed a very nice pair of boots on sale and bought them instead. Does Ken's shoe store bag contain sandals?",N,Both narratives
17,"When Jeff got ready this morning, he put on a light pink shirt instead of a white one. Jeff is colorblind, so he can't tell the difference between subtle shades of color. In reality, is Jeff's shirt pink?",Y,Both narratives
